       Value     Percentile TotalCount 1/(1-Percentile)

        0.45 0.000000000000         64           1.00
       11.52 0.100000000000      10321           1.11
       21.76 0.200000000000      20150           1.25
       31.62 0.300000000000      30161           1.43
       41.98 0.400000000000      40287           1.67
       52.22 0.500000000000      50295           2.00
       57.09 0.550000000000      55230           2.22
       61.70 0.600000000000      60009           2.50
       67.07 0.650000000000      65117           2.86
       72.19 0.700000000000      70134           3.33
       77.31 0.750000000000      75024           4.00
       79.87 0.775000000000      77709           4.44
       82.43 0.800000000000      80077           5.00
       84.99 0.825000000000      82820           5.71
       87.55 0.850000000000      85232           6.67
       90.11 0.875000000000      88005           8.00
       91.14 0.887500000000      88807           8.89
       92.16 0.900000000000      90041          10.00
       93.70 0.912500000000      91614          11.43
       95.23 0.925000000000      93194          13.33
       96.26 0.937500000000      94015          16.00
       96.77 0.943750000000      94447          17.78
       97.28 0.950000000000      95258          20.00
       97.79 0.956250000000      95645          22.86
       98.82 0.962500000000      96843          26.67
       99.33 0.968750000000      97264          32.00
       99.33 0.971875000000      97264          35.56
       99.84 0.975000000000      97654          40.00
      100.35 0.978125000000      98430          45.71
      100.35 0.981250000000      98430          53.33
      100.86 0.984375000000      98629          64.00
      100.86 0.985937500000      98629          71.11
      101.89 0.987500000000      98823          80.00
      102.40 0.989062500000      98947          91.43
      103.94 0.990625000000      99133         106.67
      104.96 0.992187500000      99218         128.00
      105.98 0.992968750000      99329         142.22
      106.50 0.993750000000      99377         160.00
      107.52 0.994531250000      99500         182.86
      108.03 0.995312500000      99531         213.33
      109.57 0.996093750000      99626         256.00
      110.08 0.996484375000      99650         284.44
      111.10 0.996875000000      99718         320.00
      111.62 0.997265625000      99736         365.71
      112.64 0.997656250000      99783         426.67
      113.15 0.998046875000      99804         512.00
      114.18 0.998242187500      99838         568.89
      114.69 0.998437500000      99848         640.00
      115.71 0.998632812500      99864         731.43
      116.74 0.998828125000      99884         853.33
      117.76 0.999023437500      99903        1024.00
      119.30 0.999121093750      99917        1137.78
      119.81 0.999218750000      99925        1280.00
      121.34 0.999316406250      99933        1462.86
      123.90 0.999414062500      99941        1706.67
      126.46 0.999511718750      99954        2048.00
      126.98 0.999560546875      99959        2275.56
      127.49 0.999609375000      99962        2560.00
      129.02 0.999658203125      99968        2925.71
      130.05 0.999707031250      99970        3413.33
      133.12 0.999755859375      99975        4096.00
      137.22 0.999780273438      99978        4551.11
      143.36 0.999804687500      99981        5120.00
      145.41 0.999829101563      99982        5851.43
      185.34 0.999853515625      99985        6826.67
      196.61 0.999877929688      99987        8192.00
      218.11 0.999890136719      99989        9102.22
      272.38 0.999902343750      99990       10240.00
      403.46 0.999914550781      99991       11702.86
      421.89 0.999926757813      99992       13653.33
      774.14 0.999938964844      99993       16384.00
      901.12 0.999945068359      99994       18204.44
     1949.70 0.999951171875      99995       20480.00
     1949.70 0.999957275391      99995       23405.71
     2195.46 0.999963378906      99996       27306.67
     2195.46 0.999969482422      99996       32768.00
     2408.45 0.999972534180      99997       36408.89
     2408.45 0.999975585938      99997       40960.00
     2408.45 0.999978637695      99997       46811.43
     2785.28 0.999981689453      99998       54613.33
     2785.28 0.999984741211      99998       65536.00
     2785.28 0.999986267090      99998       72817.78
     2785.28 0.999987792969      99998       81920.00
     2785.28 0.999989318848      99998       93622.86
     5275.65 0.999990844727      99999      109226.67
     5275.65 1.000000000000      99999
#[Mean    =        52.09, StdDeviation   =        36.86]
#[Max     =      5275.65, Total count    =        99999]
#[Buckets =           10, SubBuckets     =          256]
       Value     Percentile TotalCount 1/(1-Percentile)

        0.45 0.000000000000         64           1.00
       11.52 0.100000000000      10321           1.11
       21.76 0.200000000000      20150           1.25
       31.62 0.300000000000      30162           1.43
       41.98 0.400000000000      40288           1.67
       52.22 0.500000000000      50296           2.00
       57.09 0.550000000000      55231           2.22
       61.70 0.600000000000      60010           2.50
       67.07 0.650000000000      65118           2.86
       72.19 0.700000000000      70135           3.33
       77.31 0.750000000000      75025           4.00
       79.87 0.775000000000      77710           4.44
       82.43 0.800000000000      80078           5.00
       84.99 0.825000000000      82821           5.71
       87.55 0.850000000000      85233           6.67
       90.11 0.875000000000      88006           8.00
       91.14 0.887500000000      88808           8.89
       92.16 0.900000000000      90042          10.00
       93.70 0.912500000000      91615          11.43
       95.23 0.925000000000      93195          13.33
       96.26 0.937500000000      94016          16.00
       96.77 0.943750000000      94448          17.78
       97.28 0.950000000000      95259          20.00
       97.79 0.956250000000      95646          22.86
       98.82 0.962500000000      96844          26.67
       99.33 0.968750000000      97265          32.00
       99.33 0.971875000000      97265          35.56
       99.84 0.975000000000      97655          40.00
      100.35 0.978125000000      98431          45.71
      100.35 0.981250000000      98431          53.33
      100.86 0.984375000000      98630          64.00
      100.86 0.985937500000      98630          71.11
      101.89 0.987500000000      98824          80.00
