       Value     Percentile TotalCount 1/(1-Percentile)    |          Value     Percentile TotalCount 1/(1-Percentile) 
                                                           |                                                           
    10.00000 0.000000000000        190           1.00      |       20.00000 0.000000000000        117           1.00   
    10.00000 0.100000000000        190           1.11      |       20.00000 0.100000000000        117           1.11   
    10.00000 0.200000000000        190           1.25      |       29.00000 0.200000000000        174           1.25   
    11.00000 0.300000000000        306           1.43      |       39.00000 0.300000000000        249           1.43   
    20.00000 0.400000000000        335           1.67      |       50.00000 0.400000000000        322           1.67   
    31.00000 0.500000000000        408           2.00      |       66.00000 0.500000000000        400           2.00   
    42.00000 0.550000000000        449           2.22      |       75.00000 0.550000000000        440           2.22   
    61.00000 0.600000000000        484           2.50      |       84.00000 0.600000000000        481           2.50   
    73.00000 0.650000000000        522           2.86      |       95.00000 0.650000000000        521           2.86   
    92.00000 0.700000000000        560           3.33      |      108.00000 0.700000000000        560           3.33   
   107.00000 0.750000000000        600           4.00      |      124.00000 0.750000000000        606           4.00   
   116.00000 0.775000000000        620           4.44      |      127.00000 0.775000000000        621           4.44   
   126.00000 0.800000000000        641           5.00      |      135.00000 0.800000000000        644           5.00   
   135.00000 0.825000000000        663           5.71      |      143.00000 0.825000000000        661           5.71   
   145.00000 0.850000000000        683           6.67      |      148.00000 0.850000000000        681           6.67   
   156.00000 0.875000000000        701           8.00      |      165.00000 0.875000000000        702           8.00   
   166.00000 0.887500000000        712           8.89      |      170.00000 0.887500000000        710           8.89   
   173.00000 0.900000000000        720          10.00      |      176.00000 0.900000000000        721          10.00   
   178.00000 0.912500000000        732          11.43      |      186.00000 0.912500000000        731          11.43   
   195.00000 0.925000000000        741          13.33      |      196.00000 0.925000000000        741          13.33   
   206.00000 0.937500000000        750          16.00      |      209.00000 0.937500000000        750          16.00   
   217.00000 0.943750000000        756          17.78      |      217.00000 0.943750000000        756          17.78   
   219.00000 0.950000000000        760          20.00      |      219.00000 0.950000000000        760          20.00   
   238.00000 0.956250000000        765          22.86      |      238.00000 0.956250000000        765          22.86   
   249.00000 0.962500000000        770          26.67      |      249.00000 0.962500000000        770          26.67   
   270.00000 0.968750000000        775          32.00      |      270.00000 0.968750000000        775          32.00   
   279.00000 0.971875000000        778          35.56      |      279.00000 0.971875000000        778          35.56   
   285.00000 0.975000000000        780          40.00      |      285.00000 0.975000000000        780          40.00   
   301.00000 0.978125000000        783          45.71      |      301.00000 0.978125000000        783          45.71   
   311.00000 0.981250000000        785          53.33      |      311.00000 0.981250000000        785          53.33   
   316.00000 0.984375000000        788          64.00      |      316.00000 0.984375000000        788          64.00   
   321.00000 0.985937500000        789          71.11      |      321.00000 0.985937500000        789          71.11   
   341.00000 0.987500000000        790          80.00      |      341.00000 0.987500000000        790          80.00   
   354.00000 0.989062500000        792          91.43      |      354.00000 0.989062500000        792          91.43   
   355.00000 0.990625000000        793         106.67      |      355.00000 0.990625000000        793         106.67   
   373.00000 0.992187500000        794         128.00      |      373.00000 0.992187500000        794         128.00   
   396.00000 0.992968750000        795         142.22      |      396.00000 0.992968750000        795         142.22   
   396.00000 0.993750000000        795         160.00      |      396.00000 0.993750000000        795         160.00   
   404.00000 0.994531250000        796         182.86      |      404.00000 0.994531250000        796         182.86   
   455.00000 0.995312500000        797         213.33      |      455.00000 0.995312500000        797         213.33   
   455.00000 0.996093750000        797         256.00      |      455.00000 0.996093750000        797         256.00   
   521.00000 0.996484375000        798         284.44      |      521.00000 0.996484375000        798         284.44   
   521.00000 0.996875000000        798         320.00      |      521.00000 0.996875000000        798         320.00   
   521.00000 0.997265625000        798         365.71      |      521.00000 0.997265625000        798         365.71   
   561.00000 0.997656250000        799         426.67      |      561.00000 0.997656250000        799         426.67   
   561.00000 0.998046875000        799         512.00      |      561.00000 0.998046875000        799         512.00   
   561.00000 0.998242187500        799         568.89      |      561.00000 0.998242187500        799         568.89   
   561.00000 0.998437500000        799         640.00      |      561.00000 0.998437500000        799         640.00   
   561.00000 0.998632812500        799         731.43      |      561.00000 0.998632812500        799         731.43   
   623.00000 0.998828125000        800         853.33      |      623.00000 0.998828125000        800         853.33   
   623.00000 1.000000000000        800                     |      623.00000 1.000000000000        800                  
#[Mean    =     69.42500, StdDeviation   =     81.77270]   |   #[Mean    =     87.92625, StdDeviation   =     75.46584]
#[Max     =    623.00000, Total count    =          800]   |   #[Max     =    623.00000, Total count    =          800]
#[Buckets =            1, SubBuckets     =       262144]   |   #[Buckets =            1, SubBuckets     =       262144]
